City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ust-tsilma,65.441,52.1498,-9.1,96,92,1.79,RU,1698794366
1,ushuaia,-54.8,-68.3,6.79,64,40,10.73,AR,1698794211
2,georgetown,5.4112,100.3354,26.96,95,20,1.54,MY,1698794148
3,mariehamn,60.0973,19.9348,4.34,93,100,5.66,AX,1698794463
4,tchintabaraden,15.8969,5.7985,28.14,15,100,2.76,NE,1698794465
5,port-aux-francais,-49.35,70.2167,3.82,94,100,13.96,TF,1698794466
6,tual,-5.6667,132.75,25.45,82,100,1.78,ID,1698794468
7,antofagasta,-23.65,-70.4,16.6,75,38,2.67,CL,1698794470
8,iqaluit,63.7506,-68.5145,-7.15,79,100,12.35,CA,1698794471
9,puerto ayora,-0.7393,-90.3518,24.19,90,81,2.68,EC,1698794472
10,polyarnyy,69.1989,33.4478,-2.29,93,99,4.48,RU,1698794473
11,codrington,-38.2667,141.9667,14.06,57,70,4.34,AU,1698794473
12,padangsidempuan,1.3667,99.2667,21.39,99,99,0.62,ID,1698794474
13,phan rang-thap cham,11.5667,108.9833,24.71,86,98,2.71,VN,1698794475
14,hermanus,-34.4187,19.2345,15.28,88,57,6.32,ZA,1698794476
15,edinburgh of the seven seas,-37.0676,-12.3116,13.69,92,14,8.08,SH,1698794477
16,uturoa,-16.7333,-151.4333,26.3,78,5,9.75,PF,1698794325
17,san antonio de pale,-1.4014,5.6325,26.37,84,100,4.52,GQ,1698794478
18,isafjordur,66.0755,-23.124,1.2,71,5,2.21,IS,1698794478
19,korla,41.7597,86.1469,14.26,27,100,4.33,CN,1698794391
20,haiku-pauwela,20.9219,-156.3051,29.01,58,40,4.12,US,1698794479
21,grytviken,-54.2811,-36.5092,1.09,94,97,1.01,GS,1698794480
22,waitangi,-43.9535,-176.5597,14.34,95,100,4.92,NZ,1698794376
23,north bend,43.4065,-124.2243,18.47,88,0,3.09,US,1698794481
24,longyearbyen,78.2186,15.6401,-7.09,58,20,5.14,SJ,1698793989
25,puerto natales,-51.7236,-72.4875,6.62,75,12,2.9,CL,1698794481
26,ilulissat,69.2167,-51.1,6.01,42,98,14.4,GL,1698794482
27,kattivakkam,13.2167,80.3167,28.37,80,100,3.74,IN,1698794483
28,flying fish cove,-10.4217,105.6791,25.82,88,100,4.63,CX,1698794483
29,yellowknife,62.456,-114.3525,-4.69,68,75,2.57,CA,1698794428
30,crane,31.3974,-102.3501,12.66,23,0,3.36,US,1698794485
31,tidjikja,18.5564,-11.4271,29.2,12,5,4.42,MR,1698794479
32,pisco,-13.7,-76.2167,20.03,77,0,9.77,PE,1698794486
33,sechura,-5.5569,-80.8222,23.55,66,83,7.26,PE,1698794487
34,taulaga,-11.0553,-171.0883,27.95,79,84,8.64,AS,1698794489
35,yuzhno-kurilsk,44.0306,145.8556,10.76,85,11,5.31,RU,1698794490
36,nacozari viejo,30.4,-109.65,17.15,32,0,4.25,MX,1698794490
37,tazovsky,67.4667,78.7,-14.28,93,100,3.68,RU,1698794385
38,kingston,17.997,-76.7936,29.53,84,75,4.12,JM,1698794491
39,talnakh,69.4865,88.3972,-16.55,97,97,2.73,RU,1698794492
40,valparaiso,-33.0393,-71.6273,16.8,76,0,5.14,CL,1698794398
41,inirida,3.8653,-67.9239,27.45,81,92,1.32,CO,1698794494
42,sattahip,12.6664,100.9007,26.05,83,20,3.09,TH,1698794495
43,qaqortoq,60.7167,-46.0333,1.2,97,100,3.0,GL,1698794495
44,bethel,41.3712,-73.414,8.69,69,100,2.06,US,1698794496
